Dataset_Name,Data_Type,Task,No_of_Instances,No_of_Attribute,summary
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
Car Evaluation,Multivariate,Classification,1.73K,6,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
Rice (Cammeo and Osmancik),Multivariate,Classification,3.81K,8,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice."
Mushroom,Multivariate,Classification,8.12K,22,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible
Abalone,Tabular,"Classification, Regression",4.18K,8,Predict the age of abalone from physical measurements
Wine Quality,Multivariate,"Classification, Regression",4.9K,12,"Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
Breast Cancer,Multivariate,Classification,286,9,Breast Cancer Data (Restricted Access)
Bank Marketing,Multivariate,Classification,45.21K,17,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
Statlog (German Credit Data),Multivariate,Classification,1K,20,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix
Census Income,Multivariate,Classification,48.84K,14,Predict whether income exceeds $50K/yr based on census data. Also known as Adult dataset.
Automobile,Multivariate,Regression,205,25,From 1985 Ward's Automotive Yearbook
Glass Identification,Multivariate,Classification,214,9,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
Breast Cancer Wisconsin (Original),Multivariate,Classification,699,9,Original Wisconsin Breast Cancer Database
Auto MPG,Multivariate,Regression,398,7,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
Thyroid Disease,"Multivariate, Domain-Theory",Classification,7.2K,5,10 separate databases from Garavan Institute
Predict students' dropout and academic success,Tabular,Classification,4.42K,36,"A dataset created from a higher education institution (acquired from several disjoint databases) related to students enrolled in different undergraduate degrees, such as agronomy, design, education, nursing, journalism, management, social service, and technologies. The dataset includes information known at the time of student enrollment (academic path, demographics, and social-economic factors) and the students' academic performance at the end of the first and second semesters. The data is used to build classification models to predict students' dropout and academic sucess. The problem is formulated as a three category classification task, in which there is a strong imbalance towards one of the classes."
Spambase,Multivariate,Classification,4.6K,57,Classifying Email as Spam or Non-Spam
Student Performance,Multivariate,"Classification, Regression",649,33,Predict student performance in secondary education (high school).
Credit Approval,Multivariate,Classification,690,15,This data concerns credit card applications; good mix of attributes
Iris,Tabular,Classification,150,4,"A small classic dataset from Fisher, 1936. One of the earliest known datasets used for evaluating classification methods."
Heart Disease,Multivariate,Classification,303,13,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
Adult,Multivariate,Classification,48.84K,14,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
Dry Bean Dataset,Multivariate,Classification,13.61K,16,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains."
N/A,N/A,N/A,N/A,N/A,N/A
Wine,Tabular,Classification,178,13,Using chemical analysis to determine the origin of wines
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,569,30,Diagnostic Wisconsin Breast Cancer Database.
